Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Name:all 
Time Period: 2025-01-01 ~ 2025-12-31
Project:Ambient
Lab:all
Include QAQC Sampling: yes
Data was downloaded on March 19 2026 6:50 pm
The data contains the COMP code. 
For Help with COMP code, please check http://www.durhamwaterquality.org/COMPcode.php

Project,Lab Name,Station,Collection Date and Time,Rain in Last 24 Hours,Comp Code,Sample Collection,Air Temperature(C),Sky Condition,Flow Severity,Thalweg,Distance From Thalweg(m),Depth(m),QAQC Sample,Comments
"Ambient","SDWRF","Field Blank","2025-03-04 09:05:00","","","","","","","","","","","Site ID: EN8.9ER Plastic Bottle Lot# 240814A Filter Lot# B24101",
"Ambient","SDWRF","EN8.9ER","2025-03-04 09:10:00","No","G","Direct Dip","4.8","Overcast","2","Yes","","","","Duplicate Site",
"Ambient","SDWRF","LR9.6LR","2025-03-04 09:45:00","No","G","Direct Dip","7.3","Overcast","2","Yes","","","","",
"Ambient","SDWRF","EN4.9ER","2025-03-04 10:20:00","No","G","Direct Dip","10.3","Overcast","2","Yes","","","","",
"Ambient","SDWRF","PN1.9PN","2025-03-04 10:45:00","No","G","Direct Dip","10.6","Overcast","2","Yes","","","","",
"Ambient","SDWRF","LL3.4LLC","2025-03-04 11:10:00","No","G","Direct Dip","11.3","Overcast","2","Yes","","","","",
"Ambient","SDWRF","LL4.6LLT2","2025-03-04 11:30:00","No","G","Direct Dip","10","Overcast","2","Yes","","","","",
"Ambient","SDWRF","EL8.6SECUT","2025-03-11 08:25:00","No","G","Direct Dip","13.4","Overcast","3","Yes","","","","",
"Ambient","SDWRF","EL7.1SEC","2025-03-11 08:40:00","No","G","Direct Dip","5.6","Overcast","3","Yes","","","","",
"Ambient","SDWRF","Field Blank","2025-03-11 08:55:00","","","","","","","","","","","Duplicate -- Site ID: EL7.1EC Plastic Bottle Lot#  Filter Lot#",
"Ambient","SDWRF","Field Blank","2025-03-11 08:55:00","","","","","","","","","","","Site ID:EL7.1EC",
"Ambient","SDWRF","EL7.1EC","2025-03-11 09:00:00","No","G","Direct Dip","6.9","Overcast","3","Yes","","","","Duplicate Site, TOC Duplicate Site",
"Ambient","SDWRF","EL5.5GC","2025-03-11 09:30:00","No","G","Direct Dip","7.1","Overcast","3","Yes","","","","",
"Ambient","SDWRF","EL1.9EC","2025-03-11 09:55:00","No","G","Direct Dip","8","Overcast","3","Yes","","","","Ecoli Duplicate Site",
"Ambient","SDWRF","LC1.1LC","2025-03-11 10:25:00","No","G","Direct Dip","12","Overcast","3","Yes","","","","",
